PharmacyID,PharmacyName,Country,Region,City,PharmacyType,OpenDate,StoreSizeBand,Latitude,Longitude
PH0090,Brussels HealthPoint #090,Belgium,Brussels-Capital,Brussels,Suburban,2019-05-27,S,50.842769,4.34164
PH0091,Bruges HealthPoint #091,Belgium,West Flanders,Bruges,Urban,2014-04-12,M,51.193725,3.238558
PH0092,Liège HealthPoint #092,Belgium,Wallonia,Liège,Suburban,2020-10-08,S,50.638246,5.587458
PH0093,Barcelona HealthPoint #093,Spain,Catalonia,Barcelona,Suburban,2017-12-11,M,41.402991,2.159534
PH0094,Poznań HealthPoint #094,Poland,Greater Poland,Poznań,Urban,2019-09-22,M,52.42315,16.936803
PH0095,Munich HealthPoint #095,Germany,Bavaria,Munich,Urban,2015-07-25,L,48.152123,11.580034
PH0096,Marseille HealthPoint #096,France,Provence-Alpes-Côte d'Azur,Marseille,Urban,2014-10-09,S,43.300151,5.36576
PH0097,Frankfurt HealthPoint #097,Germany,Hesse,Frankfurt,Urban,2010-11-27,S,50.112396,8.698894
PH0098,Venice HealthPoint #098,Italy,Veneto,Venice,Urban,2022-11-22,S,45.430729,12.318605
PH0099,Lyon HealthPoint #099,France,Auvergne-Rhône-Alpes,Lyon,Rural,2021-08-17,S,45.770541,4.822821
PH0100,Lille HealthPoint #100,France,Hauts-de-France,Lille,Suburban,2010-08-19,S,50.625093,3.054372
PH0101,Berlin HealthPoint #101,Germany,Berlin,Berlin,Urban,2013-01-08,M,52.518132,13.405976
PH0102,Graz HealthPoint #102,Austria,Styria,Graz,Suburban,2025-04-20,M,47.065632,15.43033
PH0103,Salzburg HealthPoint #103,Austria,Salzburg,Salzburg,Urban,2017-06-25,S,47.805819,13.057069
PH0104,Liège HealthPoint #104,Belgium,Wallonia,Liège,Suburban,2017-11-16,L,50.648098,5.581969
PH0105,Naples HealthPoint #105,Italy,Campania,Naples,Urban,2010-07-21,S,40.837443,14.264356
PH0106,Hamburg HealthPoint #106,Germany,Hamburg,Hamburg,Suburban,2020-10-02,L,53.566158,9.999417
PH0107,Bologna HealthPoint #107,Italy,Emilia-Romagna,Bologna,Suburban,2012-04-26,M,44.508126,11.336408
PH0108,Brussels HealthPoint #108,Belgium,Brussels-Capital,Brussels,Rural,2012-01-14,M,50.865039,4.351197
PH0109,Antwerp HealthPoint #109,Belgium,Flanders,Antwerp,Urban,2019-02-23,L,51.224739,4.392816
PH0110,Rotterdam HealthPoint #110,Netherlands,South Holland,Rotterdam,Suburban,2015-10-12,S,51.925586,4.490302
PH0111,Lyon HealthPoint #111,France,Auvergne-Rhône-Alpes,Lyon,Urban,2022-09-21,M,45.749601,4.826247
PH0112,Hamburg HealthPoint #112,Germany,Hamburg,Hamburg,Suburban,2015-11-01,M,53.564624,9.989875
PH0113,Frankfurt HealthPoint #113,Germany,Hesse,Frankfurt,Rural,2020-07-08,M,50.121739,8.66483
PH0114,Barcelona HealthPoint #114,Spain,Catalonia,Barcelona,Urban,2013-03-03,M,41.380966,2.191563
PH0115,Vienna HealthPoint #115,Austria,Vienna,Vienna,Urban,2025-12-13,M,48.208055,16.377674
PH0116,Milan HealthPoint #116,Italy,Lombardy,Milan,Urban,2014-12-12,S,45.46402,9.197536
PH0117,Kraków HealthPoint #117,Poland,Lesser Poland,Kraków,Rural,2018-07-17,L,50.048824,19.937584
PH0118,Marseille HealthPoint #118,France,Provence-Alpes-Côte d'Azur,Marseille,Suburban,2018-02-25,M,43.305789,5.382062
PH0119,Utrecht HealthPoint #119,Netherlands,Utrecht,Utrecht,Urban,2016-10-21,M,52.110207,5.139162
PH0120,Naples HealthPoint #120,Italy,Campania,Naples,Urban,2023-04-07,M,40.861041,14.255804
