SalesID,DateKey,PharmacyID,ProductID,UnitsSold,RevenueEUR,CostEUR,MarginEUR,PromoFlag
S0000077,20240101,PH0105,PR0149,9,61.73,45.76,15.97,No
S0000078,20240101,PH0106,PR0034,22,265.88,183.72,82.16,No
S0000079,20240101,PH0106,PR0047,7,103.56,66.1,37.46,No
S0000080,20240101,PH0108,PR0053,7,63.45,45.01,18.44,No
S0000081,20240101,PH0109,PR0157,8,196.69,137.14,59.55,No
S0000082,20240101,PH0111,PR0008,4,253.12,189.92,63.2,No
S0000083,20240101,PH0111,PR0060,12,866.76,705.39,161.37,No
S0000084,20240101,PH0112,PR0076,7,307.58,271.93,35.65,Yes
S0000085,20240101,PH0112,PR0107,3,34.52,22.31,12.21,No
S0000086,20240101,PH0114,PR0033,4,56.49,40.37,16.12,No
S0000087,20240101,PH0116,PR0136,4,47.64,36.07,11.57,Yes
S0000088,20240101,PH0116,PR0213,2,55.38,38.91,16.47,No
S0000089,20240101,PH0116,PR0164,2,24.74,15.63,9.11,No
S0000090,20240101,PH0117,PR0096,20,111.54,78.51,33.03,No
S0000091,20240101,PH0118,PR0120,5,13.4,9.1,4.3,No
S0000092,20240101,PH0118,PR0051,4,290.68,228.22,62.46,No
S0000093,20240101,PH0120,PR0211,7,169.11,130.35,38.76,No
S0000094,20240102,PH0002,PR0170,7,178.94,117.98,60.96,No
S0000095,20240102,PH0007,PR0096,8,60.06,40.84,19.22,No
S0000096,20240102,PH0008,PR0007,1,13.29,8.98,4.31,No
S0000097,20240102,PH0010,PR0095,2,71.65,53.54,18.11,No
S0000098,20240102,PH0012,PR0175,6,240.55,178.86,61.69,No
S0000099,20240102,PH0012,PR0035,3,6.43,4.28,2.15,No
S0000100,20240102,PH0015,PR0096,19,135.85,95.41,40.44,No
S0000101,20240102,PH0015,PR0117,10,51.0,33.54,17.46,No
S0000102,20240102,PH0015,PR0206,6,26.28,18.1,8.18,No
S0000103,20240102,PH0016,PR0165,6,45.23,29.68,15.55,No
S0000104,20240102,PH0016,PR0155,10,179.39,131.6,47.79,No
S0000105,20240102,PH0018,PR0032,5,131.15,98.76,32.39,No
S0000106,20240102,PH0018,PR0073,16,252.01,154.94,97.07,No
S0000107,20240102,PH0021,PR0147,3,55.76,33.75,22.01,No
S0000108,20240102,PH0024,PR0095,6,208.68,158.41,50.27,No
S0000109,20240102,PH0025,PR0045,6,30.51,21.74,8.77,No
S0000110,20240102,PH0027,PR0093,21,313.4,223.04,90.36,No
S0000111,20240102,PH0027,PR0079,8,113.32,84.19,29.13,No
S0000112,20240102,PH0028,PR0118,7,462.17,342.16,120.01,No
S0000113,20240102,PH0028,PR0110,8,161.27,101.07,60.2,No
S0000114,20240102,PH0028,PR0023,4,60.88,39.5,21.38,No
S0000115,20240102,PH0034,PR0054,7,68.21,46.95,21.26,No
S0000116,20240102,PH0034,PR0203,7,70.3,50.9,19.4,No
S0000117,20240102,PH0034,PR0008,1,65.18,49.87,15.31,No
S0000118,20240102,PH0034,PR0064,3,65.91,47.87,18.04,No
S0000119,20240102,PH0037,PR0031,1,114.22,81.35,32.87,No
S0000120,20240102,PH0037,PR0108,4,61.4,48.78,12.62,No
S0000121,20240102,PH0039,PR0174,17,150.96,109.58,41.38,No
S0000122,20240102,PH0044,PR0039,9,187.0,134.54,52.46,Yes
S0000123,20240102,PH0047,PR0111,1,31.07,25.01,6.06,No
S0000124,20240102,PH0048,PR0035,10,20.6,14.21,6.39,No
S0000125,20240102,PH0048,PR0102,5,104.2,69.82,34.38,No
S0000126,20240102,PH0048,PR0170,13,319.54,210.83,108.71,No
S0000127,20240102,PH0049,PR0088,3,226.16,177.02,49.14,No
S0000128,20240102,PH0049,PR0007,14,186.08,125.58,60.5,No
S0000129,20240102,PH0051,PR0143,10,314.18,236.15,78.03,No
S0000130,20240102,PH0053,PR0003,15,211.37,151.18,60.19,No
S0000131,20240102,PH0053,PR0146,12,26.84,18.34,8.5,No
S0000132,20240102,PH0054,PR0039,2,47.03,30.91,16.12,No
S0000133,20240102,PH0056,PR0040,2,48.96,33.44,15.52,No
S0000134,20240102,PH0056,PR0175,1,36.62,26.72,9.9,No
S0000135,20240102,PH0059,PR0197,3,63.09,43.05,20.04,No
S0000136,20240102,PH0059,PR0063,6,24.42,15.76,8.66,No
S0000137,20240102,PH0067,PR0177,5,49.97,39.62,10.35,Yes
S0000138,20240102,PH0070,PR0155,7,116.27,86.18,30.09,No
S0000139,20240102,PH0072,PR0022,2,47.66,34.62,13.04,No
S0000140,20240102,PH0073,PR0078,2,45.96,31.45,14.51,No
S0000141,20240102,PH0073,PR0132,9,101.43,71.15,30.28,No
S0000142,20240102,PH0073,PR0043,5,64.65,44.09,20.56,No
S0000143,20240102,PH0075,PR0092,6,376.54,283.46,93.08,No
S0000144,20240102,PH0078,PR0197,5,108.3,69.03,39.27,No
S0000145,20240102,PH0078,PR0107,4,45.16,29.57,15.59,No
S0000146,20240102,PH0079,PR0121,1,43.06,33.07,9.99,No
S0000147,20240102,PH0083,PR0180,3,194.02,143.29,50.73,No
S0000148,20240102,PH0083,PR0143,6,248.93,188.09,60.84,No
S0000149,20240102,PH0091,PR0111,2,60.96,47.18,13.78,No
S0000150,20240102,PH0093,PR0027,1,91.96,64.5,27.46,No
S0000151,20240102,PH0094,PR0161,3,52.28,41.63,10.65,No
S0000152,20240102,PH0095,PR0058,8,102.82,73.88,28.94,No
S0000153,20240102,PH0096,PR0005,5,71.45,50.8,20.65,No
S0000154,20240102,PH0098,PR0188,6,170.32,124.17,46.15,No
S0000155,20240102,PH0101,PR0043,9,122.19,85.03,37.16,No
S0000156,20240102,PH0104,PR0066,18,203.01,135.86,67.15,No
S0000157,20240102,PH0104,PR0030,8,116.27,74.03,42.24,No
S0000158,20240102,PH0106,PR0158,3,56.78,40.78,16.0,Yes
S0000159,20240102,PH0106,PR0166,8,108.78,76.95,31.83,No
S0000160,20240102,PH0107,PR0116,5,91.15,63.03,28.12,No
S0000161,20240102,PH0107,PR0023,13,179.25,128.75,50.5,Yes
S0000162,20240102,PH0110,PR0061,3,9.33,6.29,3.04,No
S0000163,20240102,PH0111,PR0149,12,86.64,63.6,23.04,No
S0000164,20240102,PH0111,PR0131,1,25.46,18.47,6.99,No
S0000165,20240102,PH0113,PR0002,11,81.2,59.41,21.79,No
S0000166,20240102,PH0114,PR0042,8,47.91,33.39,14.52,No
S0000167,20240102,PH0117,PR0051,4,226.73,179.5,47.23,No
S0000168,20240102,PH0118,PR0108,1,14.62,11.52,3.1,No
S0000169,20240102,PH0119,PR0153,18,282.46,177.29,105.17,No
S0000170,20240102,PH0119,PR0183,7,86.56,59.88,26.68,No
S0000171,20240102,PH0119,PR0206,2,9.46,6.61,2.85,No
S0000172,20240102,PH0120,PR0077,3,25.74,19.19,6.55,No
S0000173,20240102,PH0120,PR0076,6,288.99,222.53,66.46,No
S0000174,20240103,PH0002,PR0061,7,20.97,14.34,6.63,No
S0000175,20240103,PH0005,PR0165,3,16.33,11.06,5.27,No
S0000176,20240103,PH0007,PR0101,5,582.75,422.16,160.59,No
S0000177,20240103,PH0008,PR0045,14,71.2,49.35,21.85,No
S0000178,20240103,PH0009,PR0216,5,353.75,267.35,86.4,No
S0000179,20240103,PH0010,PR0066,15,169.18,107.9,61.28,No
S0000180,20240103,PH0010,PR0033,9,142.29,96.86,45.43,No
S0000181,20240103,PH0010,PR0118,6,429.51,304.14,125.37,No
S0000182,20240103,PH0015,PR0211,6,152.58,121.48,31.1,No
S0000183,20240103,PH0016,PR0130,2,30.97,20.72,10.25,No
S0000184,20240103,PH0016,PR0208,3,52.62,36.14,16.48,No
S0000185,20240103,PH0016,PR0063,4,17.58,11.88,5.7,No
S0000186,20240103,PH0017,PR0114,9,232.47,141.06,91.41,No
S0000187,20240103,PH0018,PR0009,8,102.16,75.47,26.69,No
S0000188,20240103,PH0020,PR0013,4,67.48,45.41,22.07,No
S0000189,20240103,PH0022,PR0200,13,106.7,71.97,34.73,No
S0000190,20240103,PH0022,PR0181,6,232.11,180.14,51.97,No
S0000191,20240103,PH0023,PR0176,6,87.29,61.34,25.95,No
S0000192,20240103,PH0023,PR0013,3,54.66,35.87,18.79,No
S0000193,20240103,PH0024,PR0012,6,319.62,251.61,68.01,No
S0000194,20240103,PH0026,PR0088,3,266.75,206.77,59.98,No
S0000195,20240103,PH0026,PR0157,10,188.12,141.08,47.04,Yes
S0000196,20240103,PH0028,PR0168,11,258.85,157.53,101.32,No
S0000197,20240103,PH0032,PR0054,3,28.38,19.25,9.13,No
S0000198,20240103,PH0033,PR0216,4,256.04,194.26,61.78,No
S0000199,20240103,PH0034,PR0172,4,104.73,81.21,23.52,No
S0000200,20240103,PH0034,PR0192,3,103.45,67.38,36.07,No
S0000201,20240103,PH0036,PR0094,16,491.65,315.23,176.42,No
S0000202,20240103,PH0036,PR0136,9,113.19,78.13,35.06,No
S0000203,20240103,PH0037,PR0015,7,267.48,239.24,28.24,Yes
S0000204,20240103,PH0037,PR0188,8,250.99,182.76,68.23,No
S0000205,20240103,PH0041,PR0037,9,30.33,23.75,6.58,Yes
S0000206,20240103,PH0044,PR0050,20,168.71,122.79,45.92,No
S0000207,20240103,PH0044,PR0171,2,144.56,128.78,15.78,Yes
S0000208,20240103,PH0044,PR0195,9,128.95,91.82,37.13,No
S0000209,20240103,PH0044,PR0155,18,307.95,236.76,71.19,No
S0000210,20240103,PH0051,PR0219,4,145.27,108.9,36.37,No
S0000211,20240103,PH0051,PR0086,7,51.49,37.3,14.19,No
S0000212,20240103,PH0053,PR0107,25,287.7,182.41,105.29,No
S0000213,20240103,PH0053,PR0199,3,166.92,130.29,36.63,No
S0000214,20240103,PH0054,PR0208,8,133.82,89.27,44.55,No
S0000215,20240103,PH0057,PR0007,6,94.06,61.56,32.5,No
S0000216,20240103,PH0057,PR0112,9,204.93,132.02,72.91,No
S0000217,20240103,PH0058,PR0199,6,343.38,262.91,80.47,No
S0000218,20240103,PH0060,PR0169,1,36.53,26.62,9.91,No
S0000219,20240103,PH0062,PR0204,9,79.86,53.36,26.5,No
S0000220,20240103,PH0062,PR0048,2,22.82,16.52,6.3,No
S0000221,20240103,PH0066,PR0193,13,317.18,214.77,102.41,No
S0000222,20240103,PH0067,PR0002,5,37.96,27.81,10.15,No
S0000223,20240103,PH0068,PR0147,1,13.42,8.21,5.21,No
S0000224,20240103,PH0068,PR0082,2,43.15,32.75,10.4,No
S0000225,20240103,PH0068,PR0177,9,69.29,50.26,19.03,No
S0000226,20240103,PH0068,PR0070,5,31.94,20.51,11.43,No
S0000227,20240103,PH0069,PR0145,5,379.24,295.52,83.72,No
S0000228,20240103,PH0070,PR0174,9,79.92,58.31,21.61,No
S0000229,20240103,PH0070,PR0003,9,120.78,92.03,28.75,No
S0000230,20240103,PH0072,PR0204,5,46.7,32.28,14.42,No
S0000231,20240103,PH0074,PR0149,15,112.63,84.32,28.31,No
S0000232,20240103,PH0074,PR0043,9,121.02,87.87,33.15,No
S0000233,20240103,PH0077,PR0101,5,555.0,400.67,154.33,No
S0000234,20240103,PH0078,PR0032,2,58.73,44.36,14.37,No
S0000235,20240103,PH0078,PR0215,6,341.44,270.17,71.27,No
S0000236,20240103,PH0079,PR0070,7,44.72,28.67,16.05,No
S0000237,20240103,PH0081,PR0168,11,286.09,183.47,102.62,No
S0000238,20240103,PH0085,PR0156,8,126.39,85.88,40.51,No
S0000239,20240103,PH0085,PR0031,1,103.34,73.08,30.26,No
S0000240,20240103,PH0085,PR0146,8,16.19,10.94,5.25,No
S0000241,20240103,PH0088,PR0065,19,153.82,102.67,51.15,No
S0000242,20240103,PH0090,PR0108,2,30.12,23.02,7.1,No
S0000243,20240103,PH0091,PR0197,15,291.58,215.39,76.19,Yes
S0000244,20240103,PH0092,PR0199,5,272.9,209.51,63.39,No
S0000245,20240103,PH0093,PR0170,14,316.59,213.23,103.36,No
S0000246,20240103,PH0094,PR0116,11,164.65,120.38,44.27,No
S0000247,20240103,PH0095,PR0092,8,554.9,431.4,123.5,No
S0000248,20240103,PH0099,PR0117,2,10.2,7.06,3.14,No
S0000249,20240103,PH0100,PR0024,6,107.16,69.92,37.24,No
S0000250,20240103,PH0101,PR0171,1,90.2,69.13,21.07,No
S0000251,20240103,PH0104,PR0102,25,536.63,372.6,164.03,No
S0000252,20240103,PH0106,PR0107,10,115.08,75.25,39.83,No
S0000253,20240103,PH0106,PR0166,6,81.59,58.37,23.22,No
S0000254,20240103,PH0107,PR0001,1,9.63,7.51,2.12,No
S0000255,20240103,PH0108,PR0155,2,34.22,25.16,9.06,No
S0000256,20240103,PH0108,PR0184,6,236.08,190.57,45.51,No
S0000257,20240103,PH0108,PR0074,16,34.94,24.15,10.79,No
S0000258,20240103,PH0109,PR0077,13,120.91,90.06,30.85,No
S0000259,20240103,PH0111,PR0135,9,191.25,134.0,57.25,No
S0000260,20240103,PH0111,PR0054,5,47.3,31.11,16.19,No
S0000261,20240103,PH0112,PR0038,6,35.78,23.99,11.79,No
S0000262,20240103,PH0113,PR0141,4,188.2,145.18,43.02,No
S0000263,20240103,PH0113,PR0107,8,92.06,57.92,34.14,No
S0000264,20240103,PH0114,PR0057,1,28.33,26.88,1.45,Yes
S0000265,20240103,PH0116,PR0045,9,55.75,37.59,18.16,No
S0000266,20240103,PH0116,PR0191,3,168.35,121.7,46.65,No
S0000267,20240103,PH0119,PR0166,10,139.86,100.27,39.59,No
S0000268,20240104,PH0004,PR0115,15,173.51,120.53,52.98,No
S0000269,20240104,PH0004,PR0046,16,51.67,31.7,19.97,No
S0000270,20240104,PH0005,PR0071,4,54.64,38.98,15.66,Yes
S0000271,20240104,PH0005,PR0155,4,51.82,39.15,12.67,No
S0000272,20240104,PH0006,PR0100,3,197.53,143.8,53.73,No
S0000273,20240104,PH0007,PR0134,8,108.27,86.47,21.8,Yes
S0000274,20240104,PH0007,PR0018,5,211.89,164.26,47.63,No
S0000275,20240104,PH0007,PR0103,9,92.23,65.92,26.31,No
S0000276,20240104,PH0016,PR0040,14,389.64,282.27,107.37,No
S0000277,20240104,PH0017,PR0095,3,104.34,80.81,23.53,No
S0000278,20240104,PH0018,PR0190,8,183.93,115.37,68.56,No
S0000279,20240104,PH0020,PR0051,3,218.01,173.67,44.34,No
S0000280,20240104,PH0021,PR0053,15,142.56,99.66,42.9,No
S0000281,20240104,PH0023,PR0219,4,201.14,150.76,50.38,No
S0000282,20240104,PH0026,PR0093,7,92.41,65.52,26.89,No
S0000283,20240104,PH0027,PR0179,5,52.52,40.15,12.37,No
S0000284,20240104,PH0027,PR0018,3,125.92,97.92,28.0,No
S0000285,20240104,PH0032,PR0090,3,42.12,25.41,16.71,No
S0000286,20240104,PH0032,PR0090,16,224.64,142.01,82.63,No
S0000287,20240104,PH0035,PR0095,2,64.0,49.05,14.95,No
S0000288,20240104,PH0036,PR0142,6,364.71,272.97,91.74,No
S0000289,20240104,PH0036,PR0162,13,38.51,26.03,12.48,No
S0000290,20240104,PH0037,PR0183,12,132.37,101.77,30.6,Yes
S0000291,20240104,PH0039,PR0218,13,222.82,163.72,59.1,No
S0000292,20240104,PH0043,PR0136,11,128.49,99.25,29.24,Yes
S0000293,20240104,PH0044,PR0144,14,318.11,214.54,103.57,No
S0000294,20240104,PH0048,PR0169,3,104.37,76.2,28.17,No
S0000295,20240104,PH0048,PR0117,16,81.6,53.71,27.89,No
S0000296,20240104,PH0048,PR0171,2,145.95,121.53,24.42,Yes
S0000297,20240104,PH0050,PR0012,4,230.13,182.95,47.18,No
S0000298,20240104,PH0053,PR0183,9,108.2,75.31,32.89,No
S0000299,20240104,PH0053,PR0149,10,75.81,54.71,21.1,No
S0000300,20240104,PH0054,PR0179,2,20.81,15.68,5.13,No
S0000301,20240104,PH0055,PR0182,11,72.88,46.61,26.27,No
S0000302,20240104,PH0056,PR0052,4,24.66,16.5,8.16,No
S0000303,20240104,PH0056,PR0125,8,206.95,138.88,68.07,No
S0000304,20240104,PH0058,PR0039,7,156.58,112.84,43.74,Yes
S0000305,20240104,PH0059,PR0195,2,27.82,19.44,8.38,No
S0000306,20240104,PH0062,PR0086,3,26.88,19.15,7.73,No
S0000307,20240104,PH0062,PR0040,4,97.93,69.13,28.8,No
S0000308,20240104,PH0065,PR0055,4,238.9,223.51,15.39,Yes
S0000309,20240104,PH0066,PR0015,3,140.12,104.69,35.43,No
S0000310,20240104,PH0068,PR0182,4,19.69,13.2,6.49,No
S0000311,20240104,PH0069,PR0033,15,218.74,157.37,61.37,No
S0000312,20240104,PH0071,PR0128,4,87.7,57.37,30.33,No
S0000313,20240104,PH0072,PR0032,2,57.02,41.95,15.07,No
S0000314,20240104,PH0072,PR0130,4,57.36,39.39,17.97,No
S0000315,20240104,PH0074,PR0057,3,119.0,94.1,24.9,No
S0000316,20240104,PH0074,PR0134,7,99.37,72.58,26.79,No
S0000317,20240104,PH0076,PR0112,9,231.66,155.2,76.46,No
S0000318,20240104,PH0076,PR0044,14,306.32,230.76,75.56,Yes
S0000319,20240104,PH0077,PR0107,17,186.32,121.33,64.99,No
S0000320,20240104,PH0078,PR0077,8,74.41,53.54,20.87,No
S0000321,20240104,PH0078,PR0141,7,323.08,246.15,76.93,No
S0000322,20240104,PH0079,PR0076,4,158.18,118.23,39.95,No
S0000323,20240104,PH0080,PR0059,4,32.2,20.97,11.23,No
S0000324,20240104,PH0083,PR0137,1,18.87,12.61,6.26,No
S0000325,20240104,PH0085,PR0096,7,47.55,31.91,15.64,No
S0000326,20240104,PH0085,PR0182,7,41.96,27.31,14.65,No
S0000327,20240104,PH0085,PR0026,7,147.7,94.32,53.38,No
S0000328,20240104,PH0086,PR0058,5,64.26,46.94,17.32,No
S0000329,20240104,PH0087,PR0045,9,48.75,37.18,11.57,Yes
S0000330,20240104,PH0088,PR0044,2,47.29,30.44,16.85,No
S0000331,20240104,PH0089,PR0047,3,37.51,25.36,12.15,Yes
S0000332,20240104,PH0089,PR0081,6,94.11,60.68,33.43,No
S0000333,20240104,PH0091,PR0161,3,60.24,53.65,6.59,Yes
S0000334,20240104,PH0093,PR0211,4,93.58,72.34,21.24,No
S0000335,20240104,PH0093,PR0191,12,652.13,483.06,169.07,No
S0000336,20240104,PH0094,PR0147,2,26.85,16.87,9.98,No
S0000337,20240104,PH0095,PR0198,8,93.41,58.31,35.1,No
S0000338,20240104,PH0095,PR0132,13,153.84,105.21,48.63,No
S0000339,20240104,PH0096,PR0033,2,30.7,21.81,8.89,No
S0000340,20240104,PH0099,PR0196,10,48.7,34.45,14.25,No
S0000341,20240104,PH0101,PR0093,7,105.47,74.1,31.37,No
S0000342,20240104,PH0101,PR0210,2,66.57,40.98,25.59,No
S0000343,20240104,PH0104,PR0135,4,87.55,61.72,25.83,No
S0000344,20240104,PH0104,PR0189,12,240.53,161.43,79.1,No
S0000345,20240104,PH0107,PR0204,14,124.22,83.41,40.81,No
S0000346,20240104,PH0107,PR0114,10,245.38,146.57,98.81,No
S0000347,20240104,PH0108,PR0187,1,15.46,11.21,4.25,Yes
S0000348,20240104,PH0108,PR0040,4,106.17,75.4,30.77,No
S0000349,20240104,PH0108,PR0003,17,234.98,173.85,61.13,No
S0000350,20240104,PH0110,PR0201,3,27.77,18.44,9.33,No
S0000351,20240104,PH0111,PR0002,16,112.48,83.09,29.39,No
S0000352,20240104,PH0111,PR0117,8,40.8,26.72,14.08,No
S0000353,20240104,PH0112,PR0048,3,37.83,26.72,11.11,No
S0000354,20240104,PH0113,PR0029,10,90.36,72.97,17.39,Yes
S0000355,20240104,PH0117,PR0115,7,80.97,59.16,21.81,No
S0000356,20240104,PH0118,PR0085,8,57.92,38.62,19.3,No
S0000357,20240104,PH0119,PR0218,6,111.07,78.56,32.51,No
S0000358,20240104,PH0119,PR0157,10,257.8,180.4,77.4,No
S0000359,20240104,PH0120,PR0145,10,657.39,597.6,59.79,Yes
S0000360,20240105,PH0007,PR0118,11,802.73,571.56,231.17,No
S0000361,20240105,PH0008,PR0044,2,40.09,25.83,14.26,No
S0000362,20240105,PH0010,PR0015,3,138.77,104.19,34.58,No
S0000363,20240105,PH0010,PR0148,6,417.03,306.3,110.73,No
S0000364,20240105,PH0015,PR0096,9,64.35,44.17,20.18,No
S0000365,20240105,PH0015,PR0021,15,186.91,140.39,46.52,Yes
S0000366,20240105,PH0021,PR0201,2,18.51,11.94,6.57,No
S0000367,20240105,PH0023,PR0122,1,109.35,77.86,31.49,No
S0000368,20240105,PH0023,PR0100,1,77.3,56.24,21.06,No
S0000369,20240105,PH0025,PR0033,7,83.81,60.72,23.09,No
S0000370,20240105,PH0026,PR0020,17,266.66,176.56,90.1,No
S0000371,20240105,PH0028,PR0102,10,197.98,136.19,61.79,No
S0000372,20240105,PH0028,PR0198,6,63.38,38.89,24.49,No
S0000373,20240105,PH0032,PR0131,3,76.38,55.87,20.51,No
S0000374,20240105,PH0033,PR0151,7,82.26,54.35,27.91,No
S0000375,20240105,PH0037,PR0220,6,104.2,67.81,36.39,No
S0000376,20240105,PH0038,PR0092,4,277.45,210.17,67.28,No
S0000377,20240105,PH0041,PR0209,5,166.42,148.22,18.2,Yes
S0000378,20240105,PH0042,PR0195,11,143.27,110.75,32.52,Yes
S0000379,20240105,PH0045,PR0079,10,143.01,106.55,36.46,No
S0000380,20240105,PH0048,PR0118,7,486.5,347.96,138.54,No
S0000381,20240105,PH0048,PR0192,2,66.96,45.48,21.48,No
S0000382,20240105,PH0048,PR0134,12,148.05,117.24,30.81,Yes
S0000383,20240105,PH0049,PR0013,6,78.95,51.32,27.63,No
S0000384,20240105,PH0050,PR0137,9,178.07,123.56,54.51,No
S0000385,20240105,PH0053,PR0111,4,124.28,97.06,27.22,No
S0000386,20240105,PH0054,PR0134,9,117.04,91.88,25.16,Yes
S0000387,20240105,PH0054,PR0119,4,120.02,97.24,22.78,No
S0000388,20240105,PH0055,PR0093,22,281.37,223.9,57.47,Yes
S0000389,20240105,PH0058,PR0201,14,129.58,86.73,42.85,No
S0000390,20240105,PH0058,PR0041,8,625.36,471.26,154.1,No
S0000391,20240105,PH0058,PR0180,7,474.69,356.47,118.22,No
S0000392,20240105,PH0062,PR0062,1,56.59,44.33,12.26,No
S0000393,20240105,PH0062,PR0107,15,156.18,99.12,57.06,No
S0000394,20240105,PH0062,PR0068,11,127.39,96.16,31.23,No
