SalesID,DateKey,PharmacyID,ProductID,UnitsSold,RevenueEUR,CostEUR,MarginEUR,PromoFlag,Profit_Margin_Pct,ASP,Margin_Tier
S0000022,20240101,PH0028,PR0137,10,174.04,116.81,57.23,No,32.88,17.4,High Margin
S0000023,20240101,PH0029,PR0012,4,223.73,176.2,47.53,No,21.24,55.93,Medium Margin
S0000024,20240101,PH0031,PR0204,6,58.84,39.74,19.1,No,32.46,9.81,High Margin
S0000025,20240101,PH0032,PR0156,3,40.6,32.44,8.16,Yes,20.1,13.53,Medium Margin
S0000026,20240101,PH0032,PR0115,9,133.47,98.67,34.8,No,26.07,14.83,Medium Margin
S0000027,20240101,PH0033,PR0166,5,61.51,43.8,17.71,No,28.79,12.3,Medium Margin
S0000028,20240101,PH0035,PR0103,5,44.9,32.45,12.45,No,27.73,8.98,Medium Margin
S0000029,20240101,PH0035,PR0193,7,151.08,104.87,46.21,No,30.59,21.58,High Margin
S0000030,20240101,PH0039,PR0049,6,319.26,251.8,67.46,No,21.13,53.21,Medium Margin
S0000031,20240101,PH0039,PR0097,16,159.68,111.02,48.66,No,30.47,9.98,High Margin
S0000032,20240101,PH0041,PR0040,2,48.96,34.42,14.54,No,29.7,24.48,Medium Margin
S0000033,20240101,PH0045,PR0087,7,52.42,42.42,10.0,Yes,19.08,7.49,Medium Margin
S0000034,20240101,PH0046,PR0002,6,42.18,30.15,12.03,No,28.52,7.03,Medium Margin
S0000035,20240101,PH0047,PR0174,3,27.97,20.75,7.22,No,25.81,9.32,Medium Margin
S0000036,20240101,PH0051,PR0064,5,83.19,61.7,21.49,No,25.83,16.64,Medium Margin
S0000037,20240101,PH0054,PR0102,9,193.19,138.32,54.87,No,28.4,21.47,Medium Margin
S0000038,20240101,PH0054,PR0162,4,13.27,9.0,4.27,No,32.18,3.32,High Margin
S0000039,20240101,PH0056,PR0161,2,42.45,34.57,7.88,No,18.56,21.22,Medium Margin
S0000040,20240101,PH0056,PR0132,3,32.12,22.88,9.24,No,28.77,10.71,Medium Margin
S0000041,20240101,PH0057,PR0215,1,50.83,39.13,11.7,No,23.02,50.83,Medium Margin
S0000042,20240101,PH0060,PR0091,4,82.07,51.15,30.92,No,37.68,20.52,High Margin
S0000043,20240101,PH0063,PR0009,3,36.09,30.82,5.27,Yes,14.6,12.03,Low Margin
S0000044,20240101,PH0063,PR0149,11,82.6,59.06,23.54,No,28.5,7.51,Medium Margin
S0000045,20240101,PH0063,PR0029,6,62.09,43.3,18.79,No,30.26,10.35,High Margin
S0000046,20240101,PH0064,PR0132,3,26.37,18.38,7.99,No,30.3,8.79,High Margin
S0000047,20240101,PH0066,PR0110,5,110.34,69.0,41.34,No,37.47,22.07,High Margin
S0000048,20240101,PH0066,PR0068,17,215.52,163.72,51.8,No,24.03,12.68,Medium Margin
S0000049,20240101,PH0066,PR0113,18,126.92,87.93,38.99,No,30.72,7.05,High Margin
S0000050,20240101,PH0068,PR0079,6,63.74,45.22,18.52,No,29.06,10.62,Medium Margin
S0000051,20240101,PH0070,PR0175,2,77.1,58.85,18.25,No,23.67,38.55,Medium Margin
S0000052,20240101,PH0071,PR0200,10,72.2,51.46,20.74,No,28.73,7.22,Medium Margin
S0000053,20240101,PH0071,PR0116,6,109.38,77.52,31.86,No,29.13,18.23,Medium Margin
S0000054,20240101,PH0075,PR0078,4,87.32,56.16,31.16,No,35.68,21.83,High Margin
S0000055,20240101,PH0075,PR0163,1,104.19,75.57,28.62,No,27.47,104.19,Medium Margin
S0000056,20240101,PH0077,PR0162,12,38.64,27.37,11.27,No,29.17,3.22,Medium Margin
S0000057,20240101,PH0077,PR0013,8,134.96,88.62,46.34,No,34.34,16.87,High Margin
S0000058,20240101,PH0077,PR0083,7,79.38,58.52,20.86,Yes,26.28,11.34,Medium Margin
S0000059,20240101,PH0077,PR0087,15,115.95,86.24,29.71,No,25.62,7.73,Medium Margin
S0000060,20240101,PH0078,PR0103,22,177.46,160.76,16.7,Yes,9.41,8.07,Low Margin
S0000061,20240101,PH0079,PR0190,14,272.89,169.32,103.57,No,37.95,19.49,High Margin
S0000062,20240101,PH0081,PR0163,2,230.31,169.06,61.25,No,26.59,115.16,Medium Margin
S0000063,20240101,PH0086,PR0158,2,41.92,27.58,14.34,No,34.21,20.96,High Margin
S0000064,20240101,PH0088,PR0041,4,266.36,199.28,67.08,No,25.18,66.59,Medium Margin
S0000065,20240101,PH0089,PR0089,4,54.19,38.58,15.61,No,28.81,13.55,Medium Margin
S0000066,20240101,PH0089,PR0138,2,61.07,45.99,15.08,No,24.69,30.54,Medium Margin
S0000067,20240101,PH0089,PR0143,6,229.6,177.73,51.87,No,22.59,38.27,Medium Margin
S0000068,20240101,PH0093,PR0007,2,26.57,19.84,6.73,Yes,25.33,13.28,Medium Margin
S0000069,20240101,PH0093,PR0203,22,174.06,144.76,29.3,Yes,16.83,7.91,Medium Margin
S0000070,20240101,PH0095,PR0086,9,89.11,63.44,25.67,No,28.81,9.9,Medium Margin
S0000071,20240101,PH0096,PR0004,2,30.26,17.63,12.63,No,41.74,15.13,High Margin
S0000072,20240101,PH0096,PR0197,4,84.12,55.53,28.59,No,33.99,21.03,High Margin
S0000073,20240101,PH0097,PR0196,7,35.79,26.41,9.38,No,26.21,5.11,Medium Margin
S0000074,20240101,PH0099,PR0054,7,59.9,45.82,14.08,Yes,23.51,8.56,Medium Margin
S0000075,20240101,PH0101,PR0078,12,289.55,187.57,101.98,No,35.22,24.13,High Margin
S0000076,20240101,PH0104,PR0203,8,80.34,58.45,21.89,No,27.25,10.04,Medium Margin
S0000077,20240101,PH0105,PR0149,9,61.73,45.76,15.97,No,25.87,6.86,Medium Margin
S0000078,20240101,PH0106,PR0034,22,265.88,183.72,82.16,No,30.9,12.09,High Margin
S0000079,20240101,PH0106,PR0047,7,103.56,66.1,37.46,No,36.17,14.79,High Margin
S0000080,20240101,PH0108,PR0053,7,63.45,45.01,18.44,No,29.06,9.06,Medium Margin
S0000081,20240101,PH0109,PR0157,8,196.69,137.14,59.55,No,30.28,24.59,High Margin
S0000082,20240101,PH0111,PR0008,4,253.12,189.92,63.2,No,24.97,63.28,Medium Margin
S0000083,20240101,PH0111,PR0060,12,866.76,705.39,161.37,No,18.62,72.23,Medium Margin
S0000084,20240101,PH0112,PR0076,7,307.58,271.93,35.65,Yes,11.59,43.94,Low Margin
S0000085,20240101,PH0112,PR0107,3,34.52,22.31,12.21,No,35.37,11.51,High Margin
S0000086,20240101,PH0114,PR0033,4,56.49,40.37,16.12,No,28.54,14.12,Medium Margin
S0000087,20240101,PH0116,PR0136,4,47.64,36.07,11.57,Yes,24.29,11.91,Medium Margin
S0000088,20240101,PH0116,PR0213,2,55.38,38.91,16.47,No,29.74,27.69,Medium Margin
S0000089,20240101,PH0116,PR0164,2,24.74,15.63,9.11,No,36.82,12.37,High Margin
S0000090,20240101,PH0117,PR0096,20,111.54,78.51,33.03,No,29.61,5.58,Medium Margin
S0000091,20240101,PH0118,PR0120,5,13.4,9.1,4.3,No,32.09,2.68,High Margin
S0000092,20240101,PH0118,PR0051,4,290.68,228.22,62.46,No,21.49,72.67,Medium Margin
S0000093,20240101,PH0120,PR0211,7,169.11,130.35,38.76,No,22.92,24.16,Medium Margin
S0000094,20240102,PH0002,PR0170,7,178.94,117.98,60.96,No,34.07,25.56,High Margin
S0000095,20240102,PH0007,PR0096,8,60.06,40.84,19.22,No,32.0,7.51,High Margin
S0000096,20240102,PH0008,PR0007,1,13.29,8.98,4.31,No,32.43,13.29,High Margin
S0000097,20240102,PH0010,PR0095,2,71.65,53.54,18.11,No,25.28,35.83,Medium Margin
S0000098,20240102,PH0012,PR0175,6,240.55,178.86,61.69,No,25.65,40.09,Medium Margin
S0000099,20240102,PH0012,PR0035,3,6.43,4.28,2.15,No,33.44,2.14,High Margin
S0000100,20240102,PH0015,PR0096,19,135.85,95.41,40.44,No,29.77,7.15,Medium Margin
S0000101,20240102,PH0015,PR0117,10,51.0,33.54,17.46,No,34.24,5.1,High Margin
S0000102,20240102,PH0015,PR0206,6,26.28,18.1,8.18,No,31.13,4.38,High Margin
S0000103,20240102,PH0016,PR0165,6,45.23,29.68,15.55,No,34.38,7.54,High Margin
S0000104,20240102,PH0016,PR0155,10,179.39,131.6,47.79,No,26.64,17.94,Medium Margin
S0000105,20240102,PH0018,PR0032,5,131.15,98.76,32.39,No,24.7,26.23,Medium Margin
S0000106,20240102,PH0018,PR0073,16,252.01,154.94,97.07,No,38.52,15.75,High Margin
S0000107,20240102,PH0021,PR0147,3,55.76,33.75,22.01,No,39.47,18.59,High Margin
S0000108,20240102,PH0024,PR0095,6,208.68,158.41,50.27,No,24.09,34.78,Medium Margin
S0000109,20240102,PH0025,PR0045,6,30.51,21.74,8.77,No,28.74,5.08,Medium Margin
S0000110,20240102,PH0027,PR0093,21,313.4,223.04,90.36,No,28.83,14.92,Medium Margin
S0000111,20240102,PH0027,PR0079,8,113.32,84.19,29.13,No,25.71,14.16,Medium Margin
S0000112,20240102,PH0028,PR0118,7,462.17,342.16,120.01,No,25.97,66.02,Medium Margin
S0000113,20240102,PH0028,PR0110,8,161.27,101.07,60.2,No,37.33,20.16,High Margin
S0000114,20240102,PH0028,PR0023,4,60.88,39.5,21.38,No,35.12,15.22,High Margin
S0000115,20240102,PH0034,PR0054,7,68.21,46.95,21.26,No,31.17,9.74,High Margin
S0000116,20240102,PH0034,PR0203,7,70.3,50.9,19.4,No,27.6,10.04,Medium Margin
S0000117,20240102,PH0034,PR0008,1,65.18,49.87,15.31,No,23.49,65.18,Medium Margin
S0000118,20240102,PH0034,PR0064,3,65.91,47.87,18.04,No,27.37,21.97,Medium Margin
S0000119,20240102,PH0037,PR0031,1,114.22,81.35,32.87,No,28.78,114.22,Medium Margin
S0000120,20240102,PH0037,PR0108,4,61.4,48.78,12.62,No,20.55,15.35,Medium Margin
S0000121,20240102,PH0039,PR0174,17,150.96,109.58,41.38,No,27.41,8.88,Medium Margin
S0000122,20240102,PH0044,PR0039,9,187.0,134.54,52.46,Yes,28.05,20.78,Medium Margin
S0000123,20240102,PH0047,PR0111,1,31.07,25.01,6.06,No,19.5,31.07,Medium Margin
S0000124,20240102,PH0048,PR0035,10,20.6,14.21,6.39,No,31.02,2.06,High Margin
S0000125,20240102,PH0048,PR0102,5,104.2,69.82,34.38,No,32.99,20.84,High Margin
S0000126,20240102,PH0048,PR0170,13,319.54,210.83,108.71,No,34.02,24.58,High Margin
S0000127,20240102,PH0049,PR0088,3,226.16,177.02,49.14,No,21.73,75.39,Medium Margin
S0000128,20240102,PH0049,PR0007,14,186.08,125.58,60.5,No,32.51,13.29,High Margin
S0000129,20240102,PH0051,PR0143,10,314.18,236.15,78.03,No,24.84,31.42,Medium Margin
S0000130,20240102,PH0053,PR0003,15,211.37,151.18,60.19,No,28.48,14.09,Medium Margin
S0000131,20240102,PH0053,PR0146,12,26.84,18.34,8.5,No,31.67,2.24,High Margin
S0000132,20240102,PH0054,PR0039,2,47.03,30.91,16.12,No,34.28,23.52,High Margin
S0000133,20240102,PH0056,PR0040,2,48.96,33.44,15.52,No,31.7,24.48,High Margin
S0000134,20240102,PH0056,PR0175,1,36.62,26.72,9.9,No,27.03,36.62,Medium Margin
S0000135,20240102,PH0059,PR0197,3,63.09,43.05,20.04,No,31.76,21.03,High Margin
S0000136,20240102,PH0059,PR0063,6,24.42,15.76,8.66,No,35.46,4.07,High Margin
S0000137,20240102,PH0067,PR0177,5,49.97,39.62,10.35,Yes,20.71,9.99,Medium Margin
S0000138,20240102,PH0070,PR0155,7,116.27,86.18,30.09,No,25.88,16.61,Medium Margin
S0000139,20240102,PH0072,PR0022,2,47.66,34.62,13.04,No,27.36,23.83,Medium Margin
S0000140,20240102,PH0073,PR0078,2,45.96,31.45,14.51,No,31.57,22.98,High Margin
S0000141,20240102,PH0073,PR0132,9,101.43,71.15,30.28,No,29.85,11.27,Medium Margin
S0000142,20240102,PH0073,PR0043,5,64.65,44.09,20.56,No,31.8,12.93,High Margin
S0000143,20240102,PH0075,PR0092,6,376.54,283.46,93.08,No,24.72,62.76,Medium Margin
S0000144,20240102,PH0078,PR0197,5,108.3,69.03,39.27,No,36.26,21.66,High Margin
S0000145,20240102,PH0078,PR0107,4,45.16,29.57,15.59,No,34.52,11.29,High Margin
S0000146,20240102,PH0079,PR0121,1,43.06,33.07,9.99,No,23.2,43.06,Medium Margin
S0000147,20240102,PH0083,PR0180,3,194.02,143.29,50.73,No,26.15,64.67,Medium Margin
S0000148,20240102,PH0083,PR0143,6,248.93,188.09,60.84,No,24.44,41.49,Medium Margin
S0000149,20240102,PH0091,PR0111,2,60.96,47.18,13.78,No,22.6,30.48,Medium Margin
S0000150,20240102,PH0093,PR0027,1,91.96,64.5,27.46,No,29.86,91.96,Medium Margin
S0000151,20240102,PH0094,PR0161,3,52.28,41.63,10.65,No,20.37,17.43,Medium Margin
S0000152,20240102,PH0095,PR0058,8,102.82,73.88,28.94,No,28.15,12.85,Medium Margin
S0000153,20240102,PH0096,PR0005,5,71.45,50.8,20.65,No,28.9,14.29,Medium Margin
S0000154,20240102,PH0098,PR0188,6,170.32,124.17,46.15,No,27.1,28.39,Medium Margin
S0000155,20240102,PH0101,PR0043,9,122.19,85.03,37.16,No,30.41,13.58,High Margin
S0000156,20240102,PH0104,PR0066,18,203.01,135.86,67.15,No,33.08,11.28,High Margin
S0000157,20240102,PH0104,PR0030,8,116.27,74.03,42.24,No,36.33,14.53,High Margin
S0000158,20240102,PH0106,PR0158,3,56.78,40.78,16.0,Yes,28.18,18.93,Medium Margin
S0000159,20240102,PH0106,PR0166,8,108.78,76.95,31.83,No,29.26,13.6,Medium Margin
S0000160,20240102,PH0107,PR0116,5,91.15,63.03,28.12,No,30.85,18.23,High Margin
S0000161,20240102,PH0107,PR0023,13,179.25,128.75,50.5,Yes,28.17,13.79,Medium Margin
S0000162,20240102,PH0110,PR0061,3,9.33,6.29,3.04,No,32.58,3.11,High Margin
S0000163,20240102,PH0111,PR0149,12,86.64,63.6,23.04,No,26.59,7.22,Medium Margin
S0000164,20240102,PH0111,PR0131,1,25.46,18.47,6.99,No,27.45,25.46,Medium Margin
S0000165,20240102,PH0113,PR0002,11,81.2,59.41,21.79,No,26.83,7.38,Medium Margin
S0000166,20240102,PH0114,PR0042,8,47.91,33.39,14.52,No,30.31,5.99,High Margin
S0000167,20240102,PH0117,PR0051,4,226.73,179.5,47.23,No,20.83,56.68,Medium Margin
S0000168,20240102,PH0118,PR0108,1,14.62,11.52,3.1,No,21.2,14.62,Medium Margin
S0000169,20240102,PH0119,PR0153,18,282.46,177.29,105.17,No,37.23,15.69,High Margin
S0000170,20240102,PH0119,PR0183,7,86.56,59.88,26.68,No,30.82,12.37,High Margin
S0000171,20240102,PH0119,PR0206,2,9.46,6.61,2.85,No,30.13,4.73,High Margin
S0000172,20240102,PH0120,PR0077,3,25.74,19.19,6.55,No,25.45,8.58,Medium Margin
S0000173,20240102,PH0120,PR0076,6,288.99,222.53,66.46,No,23.0,48.16,Medium Margin
S0000174,20240103,PH0002,PR0061,7,20.97,14.34,6.63,No,31.62,3.0,High Margin
S0000175,20240103,PH0005,PR0165,3,16.33,11.06,5.27,No,32.27,5.44,High Margin
S0000176,20240103,PH0007,PR0101,5,582.75,422.16,160.59,No,27.56,116.55,Medium Margin
S0000177,20240103,PH0008,PR0045,14,71.2,49.35,21.85,No,30.69,5.09,High Margin
S0000178,20240103,PH0009,PR0216,5,353.75,267.35,86.4,No,24.42,70.75,Medium Margin
S0000179,20240103,PH0010,PR0066,15,169.18,107.9,61.28,No,36.22,11.28,High Margin
S0000180,20240103,PH0010,PR0033,9,142.29,96.86,45.43,No,31.93,15.81,High Margin
S0000181,20240103,PH0010,PR0118,6,429.51,304.14,125.37,No,29.19,71.58,Medium Margin
S0000182,20240103,PH0015,PR0211,6,152.58,121.48,31.1,No,20.38,25.43,Medium Margin
S0000183,20240103,PH0016,PR0130,2,30.97,20.72,10.25,No,33.1,15.48,High Margin
S0000184,20240103,PH0016,PR0208,3,52.62,36.14,16.48,No,31.32,17.54,High Margin
S0000185,20240103,PH0016,PR0063,4,17.58,11.88,5.7,No,32.42,4.39,High Margin
S0000186,20240103,PH0017,PR0114,9,232.47,141.06,91.41,No,39.32,25.83,High Margin
S0000187,20240103,PH0018,PR0009,8,102.16,75.47,26.69,No,26.13,12.77,Medium Margin
S0000188,20240103,PH0020,PR0013,4,67.48,45.41,22.07,No,32.71,16.87,High Margin
S0000189,20240103,PH0022,PR0200,13,106.7,71.97,34.73,No,32.55,8.21,High Margin
S0000190,20240103,PH0022,PR0181,6,232.11,180.14,51.97,No,22.39,38.68,Medium Margin
S0000191,20240103,PH0023,PR0176,6,87.29,61.34,25.95,No,29.73,14.55,Medium Margin
S0000192,20240103,PH0023,PR0013,3,54.66,35.87,18.79,No,34.38,18.22,High Margin
S0000193,20240103,PH0024,PR0012,6,319.62,251.61,68.01,No,21.28,53.27,Medium Margin
S0000194,20240103,PH0026,PR0088,3,266.75,206.77,59.98,No,22.49,88.92,Medium Margin
S0000195,20240103,PH0026,PR0157,10,188.12,141.08,47.04,Yes,25.01,18.81,Medium Margin
S0000196,20240103,PH0028,PR0168,11,258.85,157.53,101.32,No,39.14,23.53,High Margin
S0000197,20240103,PH0032,PR0054,3,28.38,19.25,9.13,No,32.17,9.46,High Margin
S0000198,20240103,PH0033,PR0216,4,256.04,194.26,61.78,No,24.13,64.01,Medium Margin
S0000199,20240103,PH0034,PR0172,4,104.73,81.21,23.52,No,22.46,26.18,Medium Margin
S0000200,20240103,PH0034,PR0192,3,103.45,67.38,36.07,No,34.87,34.48,High Margin
S0000201,20240103,PH0036,PR0094,16,491.65,315.23,176.42,No,35.88,30.73,High Margin
S0000202,20240103,PH0036,PR0136,9,113.19,78.13,35.06,No,30.97,12.58,High Margin
S0000203,20240103,PH0037,PR0015,7,267.48,239.24,28.24,Yes,10.56,38.21,Low Margin
S0000204,20240103,PH0037,PR0188,8,250.99,182.76,68.23,No,27.18,31.37,Medium Margin
S0000205,20240103,PH0041,PR0037,9,30.33,23.75,6.58,Yes,21.69,3.37,Medium Margin
S0000206,20240103,PH0044,PR0050,20,168.71,122.79,45.92,No,27.22,8.44,Medium Margin
S0000207,20240103,PH0044,PR0171,2,144.56,128.78,15.78,Yes,10.92,72.28,Low Margin
S0000208,20240103,PH0044,PR0195,9,128.95,91.82,37.13,No,28.79,14.33,Medium Margin
S0000209,20240103,PH0044,PR0155,18,307.95,236.76,71.19,No,23.12,17.11,Medium Margin
S0000210,20240103,PH0051,PR0219,4,145.27,108.9,36.37,No,25.04,36.32,Medium Margin
S0000211,20240103,PH0051,PR0086,7,51.49,37.3,14.19,No,27.56,7.36,Medium Margin
S0000212,20240103,PH0053,PR0107,25,287.7,182.41,105.29,No,36.6,11.51,High Margin
S0000213,20240103,PH0053,PR0199,3,166.92,130.29,36.63,No,21.94,55.64,Medium Margin
S0000214,20240103,PH0054,PR0208,8,133.82,89.27,44.55,No,33.29,16.73,High Margin
S0000215,20240103,PH0057,PR0007,6,94.06,61.56,32.5,No,34.55,15.68,High Margin
S0000216,20240103,PH0057,PR0112,9,204.93,132.02,72.91,No,35.58,22.77,High Margin
S0000217,20240103,PH0058,PR0199,6,343.38,262.91,80.47,No,23.43,57.23,Medium Margin
S0000218,20240103,PH0060,PR0169,1,36.53,26.62,9.91,No,27.13,36.53,Medium Margin
S0000219,20240103,PH0062,PR0204,9,79.86,53.36,26.5,No,33.18,8.87,High Margin
S0000220,20240103,PH0062,PR0048,2,22.82,16.52,6.3,No,27.61,11.41,Medium Margin
S0000221,20240103,PH0066,PR0193,13,317.18,214.77,102.41,No,32.29,24.4,High Margin
S0000222,20240103,PH0067,PR0002,5,37.96,27.81,10.15,No,26.74,7.59,Medium Margin
S0000223,20240103,PH0068,PR0147,1,13.42,8.21,5.21,No,38.82,13.42,High Margin
S0000224,20240103,PH0068,PR0082,2,43.15,32.75,10.4,No,24.1,21.58,Medium Margin
S0000225,20240103,PH0068,PR0177,9,69.29,50.26,19.03,No,27.46,7.7,Medium Margin
S0000226,20240103,PH0068,PR0070,5,31.94,20.51,11.43,No,35.79,6.39,High Margin
S0000227,20240103,PH0069,PR0145,5,379.24,295.52,83.72,No,22.08,75.85,Medium Margin
S0000228,20240103,PH0070,PR0174,9,79.92,58.31,21.61,No,27.04,8.88,Medium Margin
S0000229,20240103,PH0070,PR0003,9,120.78,92.03,28.75,No,23.8,13.42,Medium Margin
S0000230,20240103,PH0072,PR0204,5,46.7,32.28,14.42,No,30.88,9.34,High Margin
S0000231,20240103,PH0074,PR0149,15,112.63,84.32,28.31,No,25.14,7.51,Medium Margin
S0000232,20240103,PH0074,PR0043,9,121.02,87.87,33.15,No,27.39,13.45,Medium Margin
S0000233,20240103,PH0077,PR0101,5,555.0,400.67,154.33,No,27.81,111.0,Medium Margin
S0000234,20240103,PH0078,PR0032,2,58.73,44.36,14.37,No,24.47,29.36,Medium Margin
S0000235,20240103,PH0078,PR0215,6,341.44,270.17,71.27,No,20.87,56.91,Medium Margin
S0000236,20240103,PH0079,PR0070,7,44.72,28.67,16.05,No,35.89,6.39,High Margin
S0000237,20240103,PH0081,PR0168,11,286.09,183.47,102.62,No,35.87,26.01,High Margin
S0000238,20240103,PH0085,PR0156,8,126.39,85.88,40.51,No,32.05,15.8,High Margin
S0000239,20240103,PH0085,PR0031,1,103.34,73.08,30.26,No,29.28,103.34,Medium Margin
S0000240,20240103,PH0085,PR0146,8,16.19,10.94,5.25,No,32.43,2.02,High Margin
S0000241,20240103,PH0088,PR0065,19,153.82,102.67,51.15,No,33.25,8.1,High Margin
S0000242,20240103,PH0090,PR0108,2,30.12,23.02,7.1,No,23.57,15.06,Medium Margin
S0000243,20240103,PH0091,PR0197,15,291.58,215.39,76.19,Yes,26.13,19.44,Medium Margin
S0000244,20240103,PH0092,PR0199,5,272.9,209.51,63.39,No,23.23,54.58,Medium Margin
S0000245,20240103,PH0093,PR0170,14,316.59,213.23,103.36,No,32.65,22.61,High Margin
S0000246,20240103,PH0094,PR0116,11,164.65,120.38,44.27,No,26.89,14.97,Medium Margin
S0000247,20240103,PH0095,PR0092,8,554.9,431.4,123.5,No,22.26,69.36,Medium Margin
S0000248,20240103,PH0099,PR0117,2,10.2,7.06,3.14,No,30.78,5.1,High Margin
S0000249,20240103,PH0100,PR0024,6,107.16,69.92,37.24,No,34.75,17.86,High Margin
S0000250,20240103,PH0101,PR0171,1,90.2,69.13,21.07,No,23.36,90.2,Medium Margin
S0000251,20240103,PH0104,PR0102,25,536.63,372.6,164.03,No,30.57,21.47,High Margin
S0000252,20240103,PH0106,PR0107,10,115.08,75.25,39.83,No,34.61,11.51,High Margin
S0000253,20240103,PH0106,PR0166,6,81.59,58.37,23.22,No,28.46,13.6,Medium Margin
S0000254,20240103,PH0107,PR0001,1,9.63,7.51,2.12,No,22.01,9.63,Medium Margin
S0000255,20240103,PH0108,PR0155,2,34.22,25.16,9.06,No,26.48,17.11,Medium Margin
S0000256,20240103,PH0108,PR0184,6,236.08,190.57,45.51,No,19.28,39.35,Medium Margin
S0000257,20240103,PH0108,PR0074,16,34.94,24.15,10.79,No,30.88,2.18,High Margin
S0000258,20240103,PH0109,PR0077,13,120.91,90.06,30.85,No,25.51,9.3,Medium Margin
S0000259,20240103,PH0111,PR0135,9,191.25,134.0,57.25,No,29.93,21.25,Medium Margin
S0000260,20240103,PH0111,PR0054,5,47.3,31.11,16.19,No,34.23,9.46,High Margin
S0000261,20240103,PH0112,PR0038,6,35.78,23.99,11.79,No,32.95,5.96,High Margin
S0000262,20240103,PH0113,PR0141,4,188.2,145.18,43.02,No,22.86,47.05,Medium Margin
S0000263,20240103,PH0113,PR0107,8,92.06,57.92,34.14,No,37.08,11.51,High Margin
S0000264,20240103,PH0114,PR0057,1,28.33,26.88,1.45,Yes,5.12,28.33,Low Margin
S0000265,20240103,PH0116,PR0045,9,55.75,37.59,18.16,No,32.57,6.19,High Margin
S0000266,20240103,PH0116,PR0191,3,168.35,121.7,46.65,No,27.71,56.12,Medium Margin
S0000267,20240103,PH0119,PR0166,10,139.86,100.27,39.59,No,28.31,13.99,Medium Margin
S0000268,20240104,PH0004,PR0115,15,173.51,120.53,52.98,No,30.53,11.57,High Margin
S0000269,20240104,PH0004,PR0046,16,51.67,31.7,19.97,No,38.65,3.23,High Margin
S0000270,20240104,PH0005,PR0071,4,54.64,38.98,15.66,Yes,28.66,13.66,Medium Margin
S0000271,20240104,PH0005,PR0155,4,51.82,39.15,12.67,No,24.45,12.96,Medium Margin
S0000272,20240104,PH0006,PR0100,3,197.53,143.8,53.73,No,27.2,65.84,Medium Margin
S0000273,20240104,PH0007,PR0134,8,108.27,86.47,21.8,Yes,20.13,13.53,Medium Margin
S0000274,20240104,PH0007,PR0018,5,211.89,164.26,47.63,No,22.48,42.38,Medium Margin
S0000275,20240104,PH0007,PR0103,9,92.23,65.92,26.31,No,28.53,10.25,Medium Margin
S0000276,20240104,PH0016,PR0040,14,389.64,282.27,107.37,No,27.56,27.83,Medium Margin
S0000277,20240104,PH0017,PR0095,3,104.34,80.81,23.53,No,22.55,34.78,Medium Margin
S0000278,20240104,PH0018,PR0190,8,183.93,115.37,68.56,No,37.28,22.99,High Margin
S0000279,20240104,PH0020,PR0051,3,218.01,173.67,44.34,No,20.34,72.67,Medium Margin
S0000280,20240104,PH0021,PR0053,15,142.56,99.66,42.9,No,30.09,9.5,High Margin
